accession	E_or_T	total_intensity	more_info	layout	
P32471_2full206_1G_P23_1T Acetyl; Phospho	modified_theoretical	20		1
P32471_2full206_1G_P40_1T Phospho; Acetyl	modified_theoretical	20		2
P40212_2full199_1G_P13_1T Methyl; Methyl	modified_theoretical	20		3
P05755_2full195_1G_P2_1T Ox	modified_theoretical	20		4
P34760_2full196_1G_P18_1T Oxidation of W to Kynurenine; Deamidation	modified_theoretical	20		5
P26786_2full190_1G_P4_1T Acetyl	modified_theoretical	20		6
P39704_26frag215_1G_P1_1T Unmodified	theoretical	20		7
P05738_2full191_1G_P1_1T Unmodified	theoretical	20		8
Q06568_2full189_1G_P1_1T Unmodified	theoretical	20		9
Q12335_2full198_1G_P1_1T Unmodified	theoretical	20		10
Q04969_2full178_1G_P1_1T Unmodified	theoretical	20		11
P11076_2full181_1G_P18_1T Myristoylation; Ox, Ox	modified_theoretical	20		12
P0CX50_2full186_2G_P2_1T Ox	modified_theoretical	20		13
P49435_2full187_1G_P2_1T Ox	modified_theoretical	20		14
P05740_2full184_1G_P1_1T Unmodified	theoretical	20		15
P0CX23_2full172_2G_P6_1T Ox; Ox; Ox	modified_theoretical	20		16
P0CX23_2full172_2G_P2_1T Ox	modified_theoretical	20		17
P0CX23_2full172_2G_P1_1T Unmodified	theoretical	20		18
Q12402_2full180_1G_P5_1T Acetyl; Ox	modified_theoretical	20		19
Q12402_2full180_1G_P3_1T Acetyl	modified_theoretical	20		20
P0C0W9_2full174_1G_P7_1T Ox; Ox; Ox	modified_theoretical	20		21
P53633_2full176_1G_P7_1T Acetyl; Ox	modified_theoretical	20		22
P38013_2full176_1G_P72_1T Carboxymethyl; Ox, Ox	modified_theoretical	20		23
P38013_2full176_1G_P58_1T Carboxymethyl; Deamidation	modified_theoretical	20		24
P38013_2full176_1G_P16_1T Acetyl; Ox	modified_theoretical	20		25
P38013_2full176_1G_P6_1T Acetyl	modified_theoretical	20		26
P38013_2full176_1G_P35_1T Ox, Ox; Deamidation	modified_theoretical	20		27
P35691_2full167_1G_P1_1T Unmodified	theoretical	20		28
P38879_2full174_1G_P5_1T Acetyl	modified_theoretical	20		29
P50861_2full169_1G_P2_1T Ox	modified_theoretical	20		30
P50861_2full169_1G_P1_1T Unmodified	theoretical	20		31
Q12672_2full160_1G_P1_1T Unmodified	theoretical	20		32
Q02753_2full160_1G_P2_1T Ox	modified_theoretical	20		33
Q02753_2full160_1G_P1_1T Unmodified	theoretical	20		34
P0CX54_2full165_2G_P12_1T Methyl, Methyl, Methyl; Methyl, Methyl, Methyl	modified_theoretical	20		35
P0CX47_2full156_2G_P3_1T Acetyl	modified_theoretical	20		36
P14832_2full162_1G_P13_1T Acetyl; Ox	modified_theoretical	20		37
Q08971_2full146_1G_P6_1T Met Loss + Acetylation; Ox	modified_theoretical	20		38
Q08971_2full146_1G_P5_1T Met Loss + Acetylation	modified_theoretical	20		39
