accession_1	lysine_ct	accession_2	delta_mass	modification	
13978.85_Da_E15 P04912_2full132_1G_P3_2T Acetyl; Missed Monoisotopic (-1)	11	P04912_2full132_1G_P3_2T Acetyl	-1.00	-1.00 Missed Monoisotopic (-1)
14218.75_Da_E758 P04912_2full132_1G_P3_2T Acetyl; Missed Monoisotopic (-1); Phospho; Phospho; Phospho	11	13978.85_Da_E15 P04912_2full132_1G_P3_2T Acetyl; Missed Monoisotopic (-1)	239.90	239.90 Phospho; Phospho; Phospho
14062.87_Da_E278 P04912_2full132_1G_P3_2T Acetyl; Missed Monoisotopic (-1); Acetyl; Acetyl	11	13978.85_Da_E15 P04912_2full132_1G_P3_2T Acetyl; Missed Monoisotopic (-1)	84.02	84.02 Acetyl; Acetyl
14062.87_Da_E278 P04912_2full132_1G_P3_2T Acetyl; Missed Monoisotopic (-1); Acetyl; Acetyl	11	14004.82_Da_E1010	58.04	58.04
14004.82_Da_E1010	11	13920.77_Da_E621	84.05	84.05
13920.83_Da_E138 P04912_2full132_1G_P1_2T Ammonia loss	11	P04912_2full132_1G_P1_2T Unmodified	-17.00	-17.00 Ammonia loss
14314.89_Da_E91 P02293_2full131_1G_P4_1T Acetyl	20	P02293_2full131_1G_P4_1T Acetyl	0.00	0.00
14314.89_Da_E91 P02293_2full131_1G_P4_1T Acetyl	20	14272.89_Da_E159 P02293_2full131_1G_P1_1T Unmodified	42.01	42.01 Acetyl
14356.9_Da_E287 P02293_2full131_1G_P8_1T Acetyl; Acetyl	20	14314.89_Da_E91 P02293_2full131_1G_P4_1T Acetyl	42.01	42.01 Acetyl
14398.91_Da_E515 P02293_2full131_1G_P9_1T Acetyl; Acetyl; Acetyl	20	14314.89_Da_E91 P02293_2full131_1G_P4_1T Acetyl	84.02	84.02 Acetyl; Acetyl
14272.89_Da_E159 P02293_2full131_1G_P1_1T Unmodified	20	P02293_2full131_1G_P1_1T Unmodified	0.00	0.00
14356.9_Da_E287 P02293_2full131_1G_P8_1T Acetyl; Acetyl	20	P02293_2full131_1G_P8_1T Acetyl; Acetyl	0.00	0.00
14398.91_Da_E515 P02293_2full131_1G_P9_1T Acetyl; Acetyl; Acetyl	20	14356.9_Da_E287 P02293_2full131_1G_P8_1T Acetyl; Acetyl	42.01	42.01 Acetyl
14398.91_Da_E515 P02293_2full131_1G_P9_1T Acetyl; Acetyl; Acetyl	20	P02293_2full131_1G_P9_1T Acetyl; Acetyl; Acetyl	0.00	0.00
14356.89_Da_E442 P02293_2full131_1G_P8_1T Acetyl; Acetyl	20	P02293_2full131_1G_P8_1T Acetyl; Acetyl	0.00	0.00
15343.84_Da_E1125 P61830_2full136_1G_P1_1T Unmodified	16	P61830_2full136_1G_P1_1T Unmodified	0.00	0.00
15426.92_Da_E177 P61830_2full136_1G_P43_1T Methyl, Methyl; Methyl, Methyl; Methyl, Methyl; Missed Monoisotopic (-1)	16	P61830_2full136_1G_P43_1T Methyl, Methyl; Methyl, Methyl; Methyl, Methyl	-1.00	-1.00 Missed Monoisotopic (-1)
15426.92_Da_E177 P61830_2full136_1G_P43_1T Methyl, Methyl; Methyl, Methyl; Methyl, Methyl; Missed Monoisotopic (-1)	16	15412.9_Da_E366 P61830_2full136_1G_P40_1T Methyl, Methyl, Methyl; Methyl, Methyl; Missed Monoisotopic (-1)	14.02	14.02 Carbamidomethyl; Missing Alanine (A)
15412.9_Da_E366 P61830_2full136_1G_P40_1T Methyl, Methyl, Methyl; Methyl, Methyl; Missed Monoisotopic (-1)	16	P61830_2full136_1G_P40_1T Methyl, Methyl, Methyl; Methyl, Methyl	-1.00	-1.00 Missed Monoisotopic (-1)
15330.85_Da_E589 P61830_2full136_1G_P29_1T Methyl, Methyl, Methyl; Ox; Missing Alanine (A)	16	P61830_2full136_1G_P29_1T Methyl, Methyl, Methyl; Ox	-71.04	-71.04 Missing Alanine (A)
14291.87_Da_E88 P02294_2full131_1G_P4_1T Acetyl	19	P02294_2full131_1G_P4_1T Acetyl	0.00	0.00
14307.87_Da_E273 P02294_2full131_1G_P6_1T Acetyl; Ox	19	14291.87_Da_E88 P02294_2full131_1G_P4_1T Acetyl	16.00	16.00 Ox
14333.89_Da_E215 P02294_2full131_1G_P8_1T Acetyl; Acetyl	19	14291.87_Da_E88 P02294_2full131_1G_P4_1T Acetyl	42.01	42.01 Acetyl
14375.9_Da_E376 P02294_2full131_1G_P11_1T Acetyl; Acetyl; Acetyl	19	14291.87_Da_E88 P02294_2full131_1G_P4_1T Acetyl	84.02	84.02 Acetyl; Acetyl
14291.86_Da_E126 P02294_2full131_1G_P4_1T Acetyl	19	P02294_2full131_1G_P4_1T Acetyl	0.00	0.00
14307.87_Da_E273 P02294_2full131_1G_P6_1T Acetyl; Ox	19	P02294_2full131_1G_P6_1T Acetyl; Ox	0.00	0.00
14349.87_Da_E1066 P02294_2full131_1G_P8_1T Acetyl; Acetyl; Ox	19	14307.87_Da_E273 P02294_2full131_1G_P6_1T Acetyl; Ox	42.01	42.01 Acetyl
14333.89_Da_E215 P02294_2full131_1G_P8_1T Acetyl; Acetyl	19	14307.87_Da_E273 P02294_2full131_1G_P6_1T Acetyl; Ox	26.02	26.02
14333.89_Da_E215 P02294_2full131_1G_P8_1T Acetyl; Acetyl	19	P02294_2full131_1G_P8_1T Acetyl; Acetyl	0.00	0.00
14349.87_Da_E1066 P02294_2full131_1G_P8_1T Acetyl; Acetyl; Ox	19	14333.89_Da_E215 P02294_2full131_1G_P8_1T Acetyl; Acetyl	16.00	16.00 Ox
14375.9_Da_E376 P02294_2full131_1G_P11_1T Acetyl; Acetyl; Acetyl	19	14333.89_Da_E215 P02294_2full131_1G_P8_1T Acetyl; Acetyl	42.01	42.01 Acetyl
14417.91_Da_E647 P02294_2full131_1G_P14_1T Acetyl; Acetyl; Acetyl; Acetyl	19	14333.89_Da_E215 P02294_2full131_1G_P8_1T Acetyl; Acetyl	84.02	84.02 Acetyl; Acetyl
14375.9_Da_E376 P02294_2full131_1G_P11_1T Acetyl; Acetyl; Acetyl	19	P02294_2full131_1G_P11_1T Acetyl; Acetyl; Acetyl	0.00	0.00
14417.91_Da_E647 P02294_2full131_1G_P14_1T Acetyl; Acetyl; Acetyl; Acetyl	19	14375.9_Da_E376 P02294_2full131_1G_P11_1T Acetyl; Acetyl; Acetyl	42.01	42.01 Acetyl
14375.9_Da_E376 P02294_2full131_1G_P11_1T Acetyl; Acetyl; Acetyl	19	14349.87_Da_E1066 P02294_2full131_1G_P8_1T Acetyl; Acetyl; Ox	26.02	26.02
14459.91_Da_E1738 P02294_2full131_1G_P14_1T Acetyl; Acetyl; Acetyl; Acetyl; Acetyl	19	14375.9_Da_E376 P02294_2full131_1G_P11_1T Acetyl; Acetyl; Acetyl	84.02	84.02 Acetyl; Acetyl
14291.86_Da_E126 P02294_2full131_1G_P4_1T Acetyl	19	14249.85_Da_E414 P02294_2full131_1G_P1_1T Unmodified	42.01	42.01 Acetyl
14236.87_Da_E518 P02294_2full131_1G_P6_1T Acetyl; Ox; Missing Alanine (A)	19	P02294_2full131_1G_P6_1T Acetyl; Ox	-71.00	-71.00 Missing Alanine (A)
14349.87_Da_E1066 P02294_2full131_1G_P8_1T Acetyl; Acetyl; Ox	19	P02294_2full131_1G_P8_1T Acetyl; Acetyl	15.99	15.99 Ox
