accession	E_or_T	total_intensity	more_info	layout	Stress	Normal	significant_difference	piechart_graphics	
P40212_2full199_1G_P13_1T Methyl; Methyl	modified_theoretical	20		1				
P05738_2full191_1G_P1_1T Unmodified	theoretical	20		2				
P0CX30_2full145_2G_P1_1T Unmodified	theoretical	20		3				
P04456_2full142_1G_P14_1T Ox; Ox	modified_theoretical	20		4				
P04456_2full142_1G_P4_1T Ox	modified_theoretical	20		5				
P04456_2full142_1G_P1_1T Unmodified	theoretical	20		6				
P61830_2full136_1G_P43_1T Methyl, Methyl; Methyl, Methyl; Methyl, Methyl	modified_theoretical	20		7				
P61830_2full136_1G_P40_1T Methyl, Methyl, Methyl; Methyl, Methyl	modified_theoretical	20		8				
P61830_2full136_1G_P29_1T Methyl, Methyl, Methyl; Ox	modified_theoretical	20		9				
P61830_2full136_1G_P1_1T Unmodified	theoretical	20		10				
P36105_2full138_1G_P8_1T Acetyl; Ox	modified_theoretical	20		11				
P36105_2full138_1G_P4_1T Acetyl	modified_theoretical	20		12				
P38754_2full138_1G_P4_1T Acetyl	modified_theoretical	20		13				
P38754_2full138_1G_P2_1T Ox	modified_theoretical	20		14				
P38061_2full130_1G_P2_1T Ox	modified_theoretical	20		15				
P38061_2full130_1G_P1_1T Unmodified	theoretical	20		16				
P38061_2full130_1G_P23_1T Ammonia loss; Deamidation	modified_theoretical	20		17				
P02294_2full131_1G_P14_1T Acetyl; Acetyl; Acetyl; Acetyl	modified_theoretical	20		18				
P02293_2full131_1G_P9_1T Acetyl; Acetyl; Acetyl	modified_theoretical	20		19				
P02294_2full131_1G_P11_1T Acetyl; Acetyl; Acetyl	modified_theoretical	20		20				
P02293_2full131_1G_P8_1T Acetyl; Acetyl	modified_theoretical	20		21				
P02294_2full131_1G_P8_1T Acetyl; Acetyl	modified_theoretical	20		22				
P02293_2full131_1G_P4_1T Acetyl	modified_theoretical	20		23				
P02294_2full131_1G_P6_1T Acetyl; Ox	modified_theoretical	20		24				
P02294_2full131_1G_P4_1T Acetyl	modified_theoretical	20		25				
P02293_2full131_1G_P1_1T Unmodified	theoretical	20		26				
P02294_2full131_1G_P1_1T Unmodified	theoretical	20		27				
P0CX85_2full120_2G_P2_1T Phospho	modified_theoretical	20		28				
P0CX85_2full120_2G_P1_1T Unmodified	theoretical	20		29				
P04912_2full132_1G_P3_2T Acetyl	modified_theoretical	20		30				
P04912_2full132_1G_P1_2T Unmodified	theoretical	20		31				
P39938_2full119_1G_P2_1T Ox	modified_theoretical	20		32				
P39938_2full119_1G_P1_1T Unmodified	theoretical	20		33				
P39939_2full119_1G_P1_1T Unmodified	theoretical	20		34				
Q08245_2full113_1G_P12_1T Acetyl; Phospho	modified_theoretical	20		35				
Q08245_2full113_1G_P29_1T Acetyl; Sulfonation	modified_theoretical	20		36				
Q08245_2full113_1G_P4_1T Acetyl	modified_theoretical	20		37				
Q08245_2full113_1G_P19_1T Acetyl; Ammonia loss	modified_theoretical	20		38				
P0CX27_2full106_2G_P3_1T Methyl; Methyl	modified_theoretical	20		39				
P0CX27_2full106_2G_P2_1T Methyl	modified_theoretical	20		40				
P38804_2full111_1G_P1_1T Unmodified	theoretical	20		41				
P02309_2full103_1G_P11_1T Acetyl; Acetyl; Acetyl; Acetyl	modified_theoretical	20		42				
P02309_2full103_1G_P10_1T Acetyl; Acetyl; Acetyl	modified_theoretical	20		43				
P02309_2full103_1G_P9_1T Acetyl; Acetyl	modified_theoretical	20		44				
P02309_2full103_1G_P4_1T Acetyl	modified_theoretical	20		45				
P11632_2full93_1G_P3_1T Ox	modified_theoretical	20		46				
P11632_2full93_1G_P1_1T Unmodified	theoretical	20		47				
P52870_2full82_1G_P1_1T Unmodified	theoretical	20		48				
P05747_2full59_1G_P1_1T Unmodified	theoretical	20		49				
Q6Q547_2full58_1G_P2_1T Ox	modified_theoretical	20		50				
Q6Q547_2full58_1G_P1_1T Unmodified	theoretical	20		51				
P04650_2full51_1G_P6_1T Ox; Ox	modified_theoretical	20		52				
P04650_2full51_1G_P12_1T Ox; Ox	modified_theoretical	20		53				
P04650_2full51_1G_P2_1T Ox	modified_theoretical	20		54				
P04650_2full51_1G_P4_1T Ox	modified_theoretical	20		55				
P04650_2full51_1G_P1_1T Unmodified	theoretical	20		56				
P04650_2full51_1G_P14_1T Ammonia loss; Ox	modified_theoretical	20		57				
P04650_2full51_1G_P5_1T Ammonia loss	modified_theoretical	20		58				
P0CX87_2full25_2G_P1_1T Unmodified	theoretical	20		59				
3391.21_Da_E1583 P0CX87_2full25_2G_P1_1T Retained Met	experimental	26951108.21	Accession = E1583; Aggregated Mass = 3391.21264179612; Aggregated Retention Time = 28.7893419340651; Total Intensity = 26951108.21; Aggregated Component Count = 14; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 11-01-15_NS_fract6_rep2_2-70-2-10; Scan Range: 206-208; Charge State m/z (+6): 566.04233; RT (min): 28.7791366666667; Abundant Component for Manual Validation of Identification Validation: File: 11-01-15_NS_fract6_rep2_2-70-2-10; Scan Range: 206-208; Charge State m/z (+6): 566.04233; RT (min): 28.7791366666667\n\nQuantitation Results:Q-Value = 0.2904663923182441700960219476; Log2FC = -1.13975478528559; Significant = True; Stress Quantitative Component Count = 179; Normal Quantitative Component Count = 195; Abundant Component for Manual Validation of Quantification: File: 10-23-15_A_fract5_rep1_2-70-2-10; Scan Range: 201-203; Charge State m/z (+6): 566.04209; RT (min): 28.1348416666667	60	8413188.49	18537919.72	True	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
3391.21_Da_E2033 P0CX87_2full25_2G_P1_1T Retained Met	experimental_below_quantification_threshold	20	Accession = E2033; Aggregated Mass = 3391.21427340911; Aggregated Retention Time = 42.1144533879669; Total Intensity = 20; Aggregated Component Count = 14; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract6_rep1_2-70-2-10; Scan Range: 304-306; Charge State m/z (+6): 566.04254; RT (min): 42.24385; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract6_rep1_2-70-2-10; Scan Range: 304-306; Charge State m/z (+6): 566.04254; RT (min): 42.24385	61				
3407.21_Da_E2137 P0CX87_2full25_2G_P1_1T Retained Met; Ox	experimental_below_quantification_threshold	20	Accession = E2137; Aggregated Mass = 3407.20572765035; Aggregated Retention Time = 29.1550087815441; Total Intensity = 20; Aggregated Component Count = 12; ; Lysine Count = 7; Abundant Component for Manual Validation of Identification: File: 08-14-15_no-stress_7_rep2_2-70-2-10; Scan Range: 198-200; Charge State m/z (+6): 568.7077; RT (min): 29.0184516666667; Abundant Component for Manual Validation of Identification Validation: File: 08-14-15_no-stress_7_rep2_2-70-2-10; Scan Range: 198-200; Charge State m/z (+6): 568.7077; RT (min): 29.0184516666667	62				
4556.77_Da_E1695	experimental	9552421.14062591	Accession = E1695; Aggregated Mass = 4556.76930137479; Aggregated Retention Time = 30.0347496634783; Total Intensity = 9552421.14062591; Aggregated Component Count = 7; ; Lysine Count = 10; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract5_rep2_2-70-2-10; Scan Range: 215-217; Charge State m/z (+8): 570.47795; RT (min): 30.1112233333333; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract5_rep2_2-70-2-10; Scan Range: 215-217; Charge State m/z (+8): 570.47795; RT (min): 30.1112233333333\n\nQuantitation Results:Q-Value = 0.5934631212408990186767964545; Log2FC = -0.210602017922575; Significant = False; Stress Quantitative Component Count = 44; Normal Quantitative Component Count = 11; Abundant Component for Manual Validation of Quantification: File: 10-15-15_B_fract5_rep2_2-70-2-10; Scan Range: 228-230; Charge State m/z (+8): 570.47839; RT (min): 31.8418916666667	63	4428217.02	2551046.9318729	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
4712.87_Da_E1403	experimental	6733114.27944089	Accession = E1403; Aggregated Mass = 4712.86893601763; Aggregated Retention Time = 30.1708845411666; Total Intensity = 6733114.27944089; Aggregated Component Count = 9; ; Lysine Count = 10; Abundant Component for Manual Validation of Identification: File: 10-28-15_S_fract5_rep2_2-70-2-10; Scan Range: 215-217; Charge State m/z (+8): 589.99095; RT (min): 30.1112233333333; Abundant Component for Manual Validation of Identification Validation: File: 10-28-15_S_fract5_rep2_2-70-2-10; Scan Range: 215-217; Charge State m/z (+8): 589.99095; RT (min): 30.1112233333333\n\nQuantitation Results:Q-Value = 0.3292824074074074074074074071; Log2FC = 2.67173218651634; Significant = False; Stress Quantitative Component Count = 38; Normal Quantitative Component Count = 20; Abundant Component for Manual Validation of Quantification: File: 10-23-15_A_fract5_rep1_2-70-2-10; Scan Range: 209-210; Charge State m/z (+8): 590.16102; RT (min): 29.2005208333333	64	5819770.4	2698666.76643664	False	piechart: attributelist = "Normal,Stress" colorlist = "#00C0F3,#FFF56D" labellist = ","
