accession_1	lysine_ct	accession_2	delta_mass	modification	
15073.97_Da_E1284 P53157_2full130_1G_P1_1T Acetyl	15	P53157_2full130_1G_P1_1T Unmodified	42.00	42.00 Acetyl
4047.3_Da_E665	8	3963.26_Da_E2267	84.05	84.05
4065.31_Da_E1418	8	4047.3_Da_E665	18.01	18.01
12732.41_Da_E1305 P00427_41frag148_1G_P1_1T Unmodified	7	P00427_41frag148_1G_P1_1T Unmodified	0.00	0.00
9785.11_Da_E1221 Q3E747_2full85_1G_P1_1T Unmodified	23	Q3E747_2full85_1G_P1_1T Unmodified	0.00	0.00
15884.94_Da_E8 P0CX52_2full143_2G_P3_1T Acetyl	17	P0CX52_2full143_2G_P3_1T Acetyl	0.00	0.00
15884.94_Da_E8 P0CX52_2full143_2G_P3_1T Acetyl	17	15728.83_Da_E609 P0CX52_2full143_2G_P3_1T Acetyl; Missing Arginine (R)	156.10	156.10 Missing Arginine (R)
15883.94_Da_E86 P0CX52_2full143_2G_P3_1T Acetyl; Missed Monoisotopic (-1)	17	P0CX52_2full143_2G_P3_1T Acetyl	-1.00	-1.00 Missed Monoisotopic (-1)
15883.94_Da_E86 P0CX52_2full143_2G_P3_1T Acetyl; Missed Monoisotopic (-1)	17	15728.83_Da_E609 P0CX52_2full143_2G_P3_1T Acetyl; Missing Arginine (R)	155.09	155.09 Deamidation; Missing Arginine (R)
15382.68_Da_E2 P0CX32_2full135_2G_P3_1T Acetyl	19	P0CX32_2full135_2G_P3_1T Acetyl	0.00	0.00
15560.62_Da_E103 P0CX32_2full135_2G_P5_1T Acetyl; Phospho; Sulfate Adduct	19	15382.68_Da_E2 P0CX32_2full135_2G_P3_1T Acetyl	177.94	177.94 Sulfate Adduct; Phospho
15382.68_Da_E16 P0CX32_2full135_2G_P3_1T Acetyl	19	P0CX32_2full135_2G_P3_1T Acetyl	0.00	0.00
15560.62_Da_E103 P0CX32_2full135_2G_P5_1T Acetyl; Phospho; Sulfate Adduct	19	P0CX32_2full135_2G_P5_1T Acetyl; Phospho	97.96	97.96 Sulfate Adduct
15658.68_Da_E916 P0CX32_2full135_2G_P5_1T Acetyl; Phospho; Sulfate Adduct; Acetone Artifact	19	15560.62_Da_E103 P0CX32_2full135_2G_P5_1T Acetyl; Phospho; Sulfate Adduct	98.07	98.07 Acetone Artifact
8794.25_Da_E0 P49167_2full78_1G_P1_1T Unmodified	13	P49167_2full78_1G_P1_1T Unmodified	0.00	0.00
8892.32_Da_E83 P49167_2full78_1G_P1_1T Acetone Artifact	13	8794.25_Da_E0 P49167_2full78_1G_P1_1T Unmodified	98.07	98.07 Acetone Artifact
8794.25_Da_E0 P49167_2full78_1G_P1_1T Unmodified	13	8610.12_Da_E1528 P49167_2full78_1G_P1_1T Missing Leucine (L); Missing Alanine (A)	184.12	184.12 Missing Leucine (L); Missing Alanine (A)
8794.25_Da_E0 P49167_2full78_1G_P1_1T Unmodified	13	8681.16_Da_E127 P49167_2full78_1G_P1_1T Missing Leucine (L)	113.09	113.09 Missing Leucine (L)
8972.18_Da_E413 P49167_2full78_1G_P1_1T Sulfate Adduct; Phospho	13	8794.25_Da_E0 P49167_2full78_1G_P1_1T Unmodified	177.94	177.94 Sulfate Adduct; Phospho
8892.2_Da_E60 P49167_2full78_1G_P1_1T Sulfate Adduct	13	8794.25_Da_E0 P49167_2full78_1G_P1_1T Unmodified	97.97	97.97 Sulfate Adduct
8878.3_Da_E211 P49167_2full78_1G_P1_1T Acetyl; Acetyl	13	8794.25_Da_E0 P49167_2full78_1G_P1_1T Unmodified	84.05	84.05 Acetyl; Acetyl
8681.16_Da_E127 P49167_2full78_1G_P1_1T Missing Leucine (L)	13	P49167_2full78_1G_P1_1T Unmodified	-113.08	-113.08 Missing Leucine (L)
8681.16_Da_E1227 P49167_2full78_1G_P1_1T Missing Leucine (L)	13	P49167_2full78_1G_P1_1T Unmodified	-113.08	-113.08 Missing Leucine (L)
8794.24_Da_E1024 P49167_2full78_1G_P1_1T Unmodified	13	P49167_2full78_1G_P1_1T Unmodified	0.00	0.00
8794.25_Da_E165 P49167_2full78_1G_P1_1T Unmodified	13	P49167_2full78_1G_P1_1T Unmodified	0.00	0.00
8892.31_Da_E2183 P49167_2full78_1G_P1_1T Acetone Artifact	13	P49167_2full78_1G_P1_1T Unmodified	98.07	98.07 Acetone Artifact
8892.32_Da_E948 P49167_2full78_1G_P1_1T Acetone Artifact	13	P49167_2full78_1G_P1_1T Unmodified	98.07	98.07 Acetone Artifact
8892.32_Da_E83 P49167_2full78_1G_P1_1T Acetone Artifact	13	P49167_2full78_1G_P1_1T Unmodified	98.07	98.07 Acetone Artifact
8892.2_Da_E60 P49167_2full78_1G_P1_1T Sulfate Adduct	13	P49167_2full78_1G_P1_1T Unmodified	97.96	97.96 Sulfate Adduct
8990.28_Da_E294 P49167_2full78_1G_P1_1T Acetone Artifact; Sulfate Adduct	13	8892.32_Da_E83 P49167_2full78_1G_P1_1T Acetone Artifact	97.97	97.97 Sulfate Adduct
8892.32_Da_E83 P49167_2full78_1G_P1_1T Acetone Artifact	13	8681.16_Da_E127 P49167_2full78_1G_P1_1T Missing Leucine (L)	211.15	211.15
8892.32_Da_E83 P49167_2full78_1G_P1_1T Acetone Artifact	13	8878.3_Da_E211 P49167_2full78_1G_P1_1T Acetyl; Acetyl	14.02	14.02 Carbamidomethyl; Missing Alanine (A)
8681.16_Da_E127 P49167_2full78_1G_P1_1T Missing Leucine (L)	13	8610.12_Da_E1528 P49167_2full78_1G_P1_1T Missing Leucine (L); Missing Alanine (A)	71.03	71.03 Missing Alanine (A)
8681.16_Da_E127 P49167_2full78_1G_P1_1T Missing Leucine (L)	13	8525.06_Da_E1897 P49167_2full78_1G_P1_1T Missing Leucine (L); Missing Arginine (R)	156.10	156.10 Missing Arginine (R)
8778.22_Da_E318	13	8681.16_Da_E127 P49167_2full78_1G_P1_1T Missing Leucine (L)	97.07	97.07
8972.18_Da_E413 P49167_2full78_1G_P1_1T Sulfate Adduct; Phospho	13	8892.2_Da_E60 P49167_2full78_1G_P1_1T Sulfate Adduct	79.97	79.97 Phospho
8990.28_Da_E294 P49167_2full78_1G_P1_1T Acetone Artifact; Sulfate Adduct	13	8892.2_Da_E60 P49167_2full78_1G_P1_1T Sulfate Adduct	98.07	98.07 Acetone Artifact
8892.2_Da_E60 P49167_2full78_1G_P1_1T Sulfate Adduct	13	8778.22_Da_E318	113.98	113.98
8878.3_Da_E211 P49167_2full78_1G_P1_1T Acetyl; Acetyl	13	8778.22_Da_E318	100.08	100.08
8794.25_Da_E165 P49167_2full78_1G_P1_1T Unmodified	13	8681.16_Da_E1227 P49167_2full78_1G_P1_1T Missing Leucine (L)	113.09	113.09 Missing Leucine (L)
8892.32_Da_E948 P49167_2full78_1G_P1_1T Acetone Artifact	13	8681.16_Da_E1227 P49167_2full78_1G_P1_1T Missing Leucine (L)	211.15	211.15
8892.31_Da_E2183 P49167_2full78_1G_P1_1T Acetone Artifact	13	8794.24_Da_E1024 P49167_2full78_1G_P1_1T Unmodified	98.07	98.07 Acetone Artifact
8892.32_Da_E948 P49167_2full78_1G_P1_1T Acetone Artifact	13	8794.25_Da_E165 P49167_2full78_1G_P1_1T Unmodified	98.07	98.07 Acetone Artifact
8878.3_Da_E1500 P49167_2full78_1G_P1_1T Acetyl; Acetyl	13	8794.25_Da_E165 P49167_2full78_1G_P1_1T Unmodified	84.05	84.05 Acetyl; Acetyl
8892.32_Da_E948 P49167_2full78_1G_P1_1T Acetone Artifact	13	8878.3_Da_E1500 P49167_2full78_1G_P1_1T Acetyl; Acetyl	14.02	14.02 Carbamidomethyl; Missing Alanine (A)
13880.87_Da_E5	18	13863.84_Da_E330	17.03	17.03
13863.84_Da_E330	18	13836.83_Da_E990	27.01	27.01
6637.86_Da_E7 P05747_2full59_1G_P1_1T Unmodified	13	P05747_2full59_1G_P1_1T Unmodified	0.00	0.00
6735.92_Da_E810 P05747_2full59_1G_P1_1T Acetone Artifact	13	6637.86_Da_E7 P05747_2full59_1G_P1_1T Unmodified	98.07	98.07 Acetone Artifact
6653.85_Da_E288 P05747_2full59_1G_P1_1T Ox	13	6637.86_Da_E7 P05747_2full59_1G_P1_1T Unmodified	16.00	16.00 Ox
6877.75_Da_E1289	13	6637.86_Da_E7 P05747_2full59_1G_P1_1T Unmodified	239.90	239.90
6669.85_Da_E358 P05747_2full59_1G_P1_1T Ox; Ox	13	6637.86_Da_E7 P05747_2full59_1G_P1_1T Unmodified	31.99	31.99 Ox; Ox
6751.93_Da_E1990 P05747_2full59_1G_P1_1T Acetone Artifact; Ox	13	6637.86_Da_E7 P05747_2full59_1G_P1_1T Unmodified	114.06	114.06 Acetone Artifact; Ox
6721.91_Da_E1143 P05747_2full59_1G_P1_1T Acetyl; Acetyl	13	6637.86_Da_E7 P05747_2full59_1G_P1_1T Unmodified	84.05	84.05 Acetyl; Acetyl
6637.86_Da_E7 P05747_2full59_1G_P1_1T Unmodified	13	6620.83_Da_E255 P05747_2full59_1G_P1_1T Ammonia loss	17.03	17.03 Ammonia loss
6637.85_Da_E686 P05747_2full59_1G_P1_1T Unmodified	13	P05747_2full59_1G_P1_1T Unmodified	0.00	0.00
6637.85_Da_E68 P05747_2full59_1G_P1_1T Unmodified	13	P05747_2full59_1G_P1_1T Unmodified	0.00	0.00
6637.85_Da_E1609 P05747_2full59_1G_P1_1T Unmodified	13	P05747_2full59_1G_P1_1T Unmodified	0.00	0.00
6637.85_Da_E2190 P05747_2full59_1G_P1_1T Unmodified	13	P05747_2full59_1G_P1_1T Unmodified	0.00	0.00
6735.92_Da_E810 P05747_2full59_1G_P1_1T Acetone Artifact	13	P05747_2full59_1G_P1_1T Unmodified	98.07	98.07 Acetone Artifact
6735.93_Da_E447 P05747_2full59_1G_P1_1T Acetone Artifact	13	P05747_2full59_1G_P1_1T Unmodified	98.07	98.07 Acetone Artifact
6735.81_Da_E1323 P05747_2full59_1G_P1_1T Sulfate Adduct	13	P05747_2full59_1G_P1_1T Unmodified	97.96	97.96 Sulfate Adduct
6735.81_Da_E864 P05747_2full59_1G_P1_1T Sulfate Adduct	13	P05747_2full59_1G_P1_1T Unmodified	97.96	97.96 Sulfate Adduct
6669.85_Da_E358 P05747_2full59_1G_P1_1T Ox; Ox	13	P05747_2full59_1G_P1_1T Unmodified	31.98	31.98 Ox; Ox
6653.85_Da_E288 P05747_2full59_1G_P1_1T Ox	13	P05747_2full59_1G_P1_1T Unmodified	15.99	15.99 Ox
6653.85_Da_E1317 P05747_2full59_1G_P1_1T Ox	13	P05747_2full59_1G_P1_1T Unmodified	15.99	15.99 Ox
6620.83_Da_E783 P05747_2full59_1G_P1_1T Ammonia loss	13	P05747_2full59_1G_P1_1T Unmodified	-17.03	-17.03 Ammonia loss
6620.83_Da_E255 P05747_2full59_1G_P1_1T Ammonia loss	13	P05747_2full59_1G_P1_1T Unmodified	-17.03	-17.03 Ammonia loss
6620.83_Da_E2036 P05747_2full59_1G_P1_1T Ammonia loss	13	P05747_2full59_1G_P1_1T Unmodified	-17.03	-17.03 Ammonia loss
6751.93_Da_E1990 P05747_2full59_1G_P1_1T Acetone Artifact; Ox	13	6735.92_Da_E810 P05747_2full59_1G_P1_1T Acetone Artifact	16.00	16.00 Ox
6735.92_Da_E810 P05747_2full59_1G_P1_1T Acetone Artifact	13	6653.85_Da_E288 P05747_2full59_1G_P1_1T Ox	82.07	82.07
6735.92_Da_E810 P05747_2full59_1G_P1_1T Acetone Artifact	13	6721.91_Da_E1143 P05747_2full59_1G_P1_1T Acetyl; Acetyl	14.02	14.02 Carbamidomethyl; Missing Alanine (A)
6735.92_Da_E810 P05747_2full59_1G_P1_1T Acetone Artifact	13	6703.89_Da_E1758 P05747_2full59_1G_P1_1T Acetyl; Acetyl; Water loss	32.02	32.02 Ox; Ox
6751.93_Da_E1990 P05747_2full59_1G_P1_1T Acetone Artifact; Ox	13	6653.85_Da_E288 P05747_2full59_1G_P1_1T Ox	98.07	98.07 Acetone Artifact
6669.85_Da_E358 P05747_2full59_1G_P1_1T Ox; Ox	13	6653.85_Da_E288 P05747_2full59_1G_P1_1T Ox	16.00	16.00 Ox
6721.91_Da_E1143 P05747_2full59_1G_P1_1T Acetyl; Acetyl	13	6653.85_Da_E288 P05747_2full59_1G_P1_1T Ox	68.05	68.05
6653.85_Da_E288 P05747_2full59_1G_P1_1T Ox	13	6627.83_Da_E2012	26.02	26.02
7055.69_Da_E1712	13	6877.75_Da_E1289	177.94	177.94
6669.85_Da_E358 P05747_2full59_1G_P1_1T Ox; Ox	13	6627.83_Da_E2012	42.01	42.01
6751.93_Da_E1990 P05747_2full59_1G_P1_1T Acetone Artifact; Ox	13	6669.85_Da_E358 P05747_2full59_1G_P1_1T Ox; Ox	82.07	82.07
6687.86_Da_E601 P05747_2full59_1G_P1_1T Ox; Ox; Water Adduct	13	6669.85_Da_E358 P05747_2full59_1G_P1_1T Ox; Ox	18.01	18.01 Water Adduct
6751.93_Da_E1990 P05747_2full59_1G_P1_1T Acetone Artifact; Ox	13	6721.91_Da_E1143 P05747_2full59_1G_P1_1T Acetyl; Acetyl	30.01	30.01 Acetone Artifact; Missing Lysine (K)
6721.91_Da_E1143 P05747_2full59_1G_P1_1T Acetyl; Acetyl	13	6703.89_Da_E1758 P05747_2full59_1G_P1_1T Acetyl; Acetyl; Water loss	18.01	18.01 Water loss
6678.87_Da_E1393 P05747_2full59_1G_P1_1T Ammonia loss; Acetyl; Ox	13	6620.83_Da_E255 P05747_2full59_1G_P1_1T Ammonia loss	58.04	58.04 Acetyl; Ox
6620.83_Da_E255 P05747_2full59_1G_P1_1T Ammonia loss	13	6603.81_Da_E1733 P05747_2full59_1G_P1_1T Ammonia loss; Ammonia loss	17.03	17.03 Ammonia loss
6637.85_Da_E686 P05747_2full59_1G_P1_1T Unmodified	13	6620.83_Da_E2036 P05747_2full59_1G_P1_1T Ammonia loss	17.03	17.03 Ammonia loss
6735.93_Da_E447 P05747_2full59_1G_P1_1T Acetone Artifact	13	6637.85_Da_E68 P05747_2full59_1G_P1_1T Unmodified	98.07	98.07 Acetone Artifact
6653.85_Da_E1317 P05747_2full59_1G_P1_1T Ox	13	6637.85_Da_E68 P05747_2full59_1G_P1_1T Unmodified	16.00	16.00 Ox
6877.75_Da_E712	13	6637.85_Da_E68 P05747_2full59_1G_P1_1T Unmodified	239.90	239.90
6735.81_Da_E1323 P05747_2full59_1G_P1_1T Sulfate Adduct	13	6637.85_Da_E68 P05747_2full59_1G_P1_1T Unmodified	97.97	97.97 Sulfate Adduct
6637.85_Da_E68 P05747_2full59_1G_P1_1T Unmodified	13	6620.83_Da_E783 P05747_2full59_1G_P1_1T Ammonia loss	17.03	17.03 Ammonia loss
6735.93_Da_E447 P05747_2full59_1G_P1_1T Acetone Artifact	13	6653.85_Da_E1317 P05747_2full59_1G_P1_1T Ox	82.07	82.07
6670.84_Da_E1699 P05747_2full59_1G_P1_1T Ox; Deamidation; Ox	13	6653.85_Da_E1317 P05747_2full59_1G_P1_1T Ox	17.00	17.00 Deamidation; Ox
6678.87_Da_E1479 P05747_2full59_1G_P1_1T Ammonia loss; Acetyl; Ox	13	6620.83_Da_E783 P05747_2full59_1G_P1_1T Ammonia loss	58.04	58.04 Acetyl; Ox
6703.89_Da_E1758 P05747_2full59_1G_P1_1T Acetyl; Acetyl; Water loss	13	6603.81_Da_E1733 P05747_2full59_1G_P1_1T Ammonia loss; Ammonia loss	100.08	100.08
6687.86_Da_E601 P05747_2full59_1G_P1_1T Ox; Ox; Water Adduct	13	6603.81_Da_E1733 P05747_2full59_1G_P1_1T Ammonia loss; Ammonia loss	84.05	84.05 Acetyl; Acetyl
7055.69_Da_E1577	13	6877.75_Da_E712	177.94	177.94
10326.56_Da_E9 P0CX25_2full92_2G_P1_1T Unmodified	11	P0CX25_2full92_2G_P1_1T Unmodified	0.00	0.00
10342.55_Da_E84 P0CX25_2full92_2G_P2_1T Ox	11	10326.56_Da_E9 P0CX25_2full92_2G_P1_1T Unmodified	16.00	16.00 Ox
10440.62_Da_E1035 P0CX25_2full92_2G_P2_1T Ox; Acetone Artifact	11	10326.56_Da_E9 P0CX25_2full92_2G_P1_1T Unmodified	114.06	114.06 Acetone Artifact; Ox
10326.56_Da_E9 P0CX25_2full92_2G_P1_1T Unmodified	11	10309.53_Da_E526 P0CX25_2full92_2G_P1_1T Ammonia loss	17.03	17.03 Ammonia loss
10424.55_Da_E145 P0CX25_2full92_2G_P3_1T Phospho; Water Adduct	11	10326.56_Da_E9 P0CX25_2full92_2G_P1_1T Unmodified	97.99	97.99 Sulfate Adduct
10357.54_Da_E1231 P0CX25_2full92_2G_P2_1T Ox; Missed Monoisotopic (-1); Ox	11	10326.56_Da_E9 P0CX25_2full92_2G_P1_1T Unmodified	30.98	30.98
